products,n_bgc
ectoine;NRPS-like,3
terpene;hserlactone,3
T3PKS;thiopeptide;LAP,3
T2PKS;RRE-containing,3
sactipeptide,3
hserlactone;siderophore,3
NRPS-like;arylpolyene,3
NRPS;ladderane;PKS-like;T1PKS,3
T2PKS;PKS-like;T1PKS,3
NRPS;T1PKS;other,3
T2PKS;NRPS,3
terpene;ectoine,3
T1PKS;transAT-PKS,3
T1PKS;PKS-like;T2PKS;RRE-containing,3
redox-cofactor;RiPP-like,3
redox-cofactor;terpene,3
NRPS;NRPS-like;RRE-containing,3
T1PKS;lanthipeptide-class-i,3
T1PKS;other,3
T1PKS;siderophore,3
lanthipeptide-class-i;T1PKS;hglE-KS,3
ladderane;NRPS,3
transAT-PKS;NRPS;PKS-like;NRPS-like,3
RiPP-like;redox-cofactor,2
other;T1PKS;ladderane,2
other;oligosaccharide;T1PKS,2
other;NRPS,2
lanthipeptide-class-ii;proteusin,2
PKS-like;T1PKS;NRPS,2
PpyS-KS,2
lanthipeptide-class-ii;phenazine,2
lanthipeptide-class-v;redox-cofactor;lanthipeptide-class-ii;NRPS,2
T1PKS;NRPS-like;NRPS;siderophore,2
oligosaccharide;NAPAA,2
NRPS-like;NRPS;butyrolactone;ectoine,2
NRPS-like;NRPS;other,2
T1PKS;NRPS;phosphonate;NRPS-like,2
lanthipeptide-class-ii;NRPS,2
T1PKS;NRPS-like;betalactone,2
lassopeptide;cyclic-lactone-autoinducer,2
transAT-PKS;PKS-like;RiPP-like,2
thioamitides;proteusin,2
thiopeptide;LAP;other,2
PKS-like;T1PKS;amglyccycl,2
PKS-like;T2PKS;RRE-containing,2
thioamide-NRP;NRPS-like,2
RRE-containing;thiopeptide,2
RaS-RiPP,2
RiPP-like;PKS-like,2
RiPP-like;PpyS-KS,2
RiPP-like;RRE-containing,2
NRPS-like;RRE-containing;RiPP-like,2
linaridin;NRPS-like;NRPS,2
linaridin;NRPS-like;NRPS;ladderane,2
CDPS;ectoine,2
NAPAA;NRPS,2
arylpolyene;NRPS;T1PKS,2
transAT-PKS-like;NRPS-like,2
transAT-PKS;NRPS;PKS-like;T3PKS,2
NAPAA;furan,2
arylpolyene;T1PKS,2
NRPS;T1PKS;ectoine,2
NRPS;T1PKS;betalactone,2
lanthipeptide-class-iii;lanthipeptide-class-ii,2
T1PKS;NRPS;terpene,2
NRPS;transAT-PKS;terpene,2
NRPS;NRPS-like;T1PKS;phosphonate,2
NRPS;NRPS-like;T2PKS,2
NRPS;NRPS-like;RiPP-like,2
NRPS;NRPS-like;PKS-like,2
T1PKS;T2PKS,2
T1PKS;PKS-like;amglyccycl,2
T1PKS;PKS-like;NRPS;ladderane,2
T1PKS;NRPS;PUFA;hglE-KS,2
redox-cofactor;lanthipeptide-class-v;lanthipeptide-class-ii;NRPS,2
redox-cofactor;NRPS-like,2
T1PKS;hglE-KS;NRPS,2
T1PKS;hserlactone;NRPS-like;NRPS,2
T1PKS;redox-cofactor,2
ladderane;betalactone,2
ladderane;RRE-containing,2
T1PKS;NRPS-like;transAT-PKS-like;NRPS;PKS-like,2
ladderane;hserlactone;butyrolactone,2
ladderane;NRPS;NRPS-like,2
indole;terpene,2
indole;NRPS;T1PKS,2
siderophore;NRPS;T1PKS,2
T2PKS;PKS-like;RRE-containing;T1PKS,2
NRPS;siderophore;T1PKS;lipolanthine;lanthipeptide-class-iii,2
resorcinol;betalactone,2
NRPS;T1PKS;terpene,2
T2PKS;siderophore,2
T1PKS;terpene;hglE-KS,2
terpene;T1PKS;NRPS,2
pyrrolidine;indole;terpene,2
ranthipeptide;LAP;RiPP-like,2
NAPAA;redox-cofactor,2
NAPAA;siderophore,2
NAPAA;thioamide-NRP,2
ranthipeptide;lassopeptide,2
hglE-KS;terpene,2
hserlactone;betalactone,2
proteusin;thioamitides,2
NRPS;ladderane,2
NRPS-like;cyanobactin,2
NRPS-like;T1PKS;betalactone,2
T2PKS;RiPP-like,2
T2PKS;T1PKS,2
PKS-like;T3PKS,2
T2PKS;butyrolactone,2
NRPS-like;redox-cofactor,2
NRPS-like;lanthipeptide-class-iv;butyrolactone,2
T2PKS;other;phosphonate,2
hglE-KS;NRPS;NRPS-like;T1PKS,2
furan;lipolanthine,2
